,US S&P 500
2003-08-27,109.8598868134879
2003-08-28,110.4972189266852
2003-08-29,111.20676041738369
2003-09-01,111.20676041738369
2003-09-02,112.6799666892068
2003-09-03,113.14183676361618
2003-09-04,113.3548206845449
2003-09-05,112.57104525435922
2003-09-08,113.72423576159296
2003-09-09,112.82047129103618
2003-09-10,111.50949991969237
2003-09-11,112.10809541355728
2003-09-12,112.39814766075358
2003-09-15,111.95625326460619
2003-09-16,113.46617159377568
2003-09-17,113.13036424569543
2003-09-18,114.62692046575722
2003-09-19,114.2027072442877
2003-09-22,112.71047008979606
2003-09-23,113.3743914504097
2003-09-24,111.29489634917485
2003-09-25,110.55809075706469
2003-09-26,109.91616963669908
2003-09-29,110.86244990896216
2003-09-30,109.8443651715951
2003-10-01,112.10985003394514
2003-10-02,112.5259650074706
2003-10-03,113.53946073766939
2003-10-06,114.03088941707462
2003-10-07,114.55255155547097
2003-10-08,114.07097574439769
2003-10-09,114.51071060775999
2003-10-10,114.61909215941131
2003-10-13,115.30042475310465
2003-10-14,115.78267541817327
2003-10-15,115.48263533184596
2003-10-16,115.81061437358026
2003-10-17,114.60060115993905
2003-10-20,115.15020225374239
2003-10-21,115.38626618131167
2003-10-22,113.7161375136489
2003-10-23,113.98108519221866
2003-10-24,113.52353418337941
2003-10-27,113.70857914890111
2003-10-28,115.44524842050421
2003-10-29,115.6454101155215
2003-10-30,115.4945127621639
2003-10-31,115.8046756584213
2003-11-03,116.83288320571843
2003-11-04,116.2643862000456
2003-11-05,116.03345116284092
2003-11-06,116.79725091476459
2003-11-07,116.28679135269083
2003-11-10,115.53230458590282
2003-11-11,115.4878991930096
2003-11-12,116.88322731377066
2003-11-13,116.828024256952
2003-11-14,116.00510729503671
2003-11-17,115.13387078705522
2003-11-18,114.0613928176639
2003-11-19,115.2184974780706
2003-11-20,114.01307327159766
2003-11-21,114.28503943171894
2003-11-24,116.1047157447486
2003-11-25,116.38990904317849
2003-11-26,116.8118277610639
2003-11-27,116.8118277610639
2003-11-28,116.784158747255
2003-12-01,118.12765808117412
2003-12-02,117.76647622286917
2003-12-03,117.64702706569432
2003-12-04,118.19055447353963
2003-12-05,117.30825036003458
2003-12-08,118.02413547828925
2003-12-09,117.0451922726518
2003-12-10,116.98040628909934
2003-12-11,118.37141534429026
2003-12-12,118.67617940858494
2003-12-15,118.05841806125244
2003-12-16,118.69979929842178
2003-12-17,118.93410860560316
2003-12-18,120.27450361114373
2003-12-19,120.24521494774605
2003-12-22,120.72976011639882
2003-12-23,121.05935880772194
2003-12-24,120.84070611323241
2003-12-25,120.84070611323241
2003-12-26,121.04505190302078
2003-12-29,122.58196439200377
2003-12-30,122.5602340933539
2003-12-31,122.51353419687649
2004-01-01,122.51353419687649
2004-01-02,122.39098071132308
2004-01-05,123.90629787245528
2004-01-06,124.14465630360868
2004-01-07,124.46251253541294
2004-01-08,124.87201393978411
2004-01-09,123.98714538109678
2004-01-12,124.58061198459714
2004-01-13,123.91642068238535
2004-01-14,124.87268879377945
2004-01-15,125.1497838442653
2004-01-16,125.89036861874932
2004-01-19,125.89036861874932
2004-01-20,125.93504395324071
2004-01-21,126.79737238848374
2004-01-22,126.43092666901514
2004-01-23,125.98349847010599
2004-01-26,127.62150408759065
2004-01-27,126.40636198358483
2004-01-28,124.80182912426896
2004-01-29,125.24075416283686
2004-01-30,124.91736412827083
2004-02-02,125.43794650027466
2004-02-03,125.54565319793063
2004-02-04,124.51056213988103
2004-02-05,124.75971823495986
2004-02-06,126.29582089914845
2004-02-09,125.95407483590924
2004-02-10,126.54767641020864
2004-02-11,127.95461201968952
2004-02-12,127.41094964104514
2004-02-13,126.74864793002033
2004-02-16,126.74864793002033
2004-02-17,127.87012029947317
2004-02-18,127.32618797923068
2004-02-19,126.83826854060123
2004-02-20,126.5857381755457
2004-02-23,126.04558503767709
2004-02-24,125.96298290864769
2004-02-25,126.47519709110932
2004-02-26,126.65052415909817
2004-02-27,126.66375129740679
2004-03-01,127.83772730769698
2004-03-02,127.13048032058263
2004-03-03,127.31053136653885
2004-03-04,127.70302645022748
2004-03-05,127.99240384342848
2004-03-08,126.8046608116334
